Name,Cost,Collections,Cuisines,N_collections,open time,closing time
Delhi-39,600,,"['North Indian', 'Chinese']",0,11,23
Al Saba Restaurant,750,,"['North Indian', 'Chinese', 'Seafood', 'Biryani', 'Hyderabadi']",0,6,23
GD's,500,,"['Burger', 'American']",0,11,5
T Grill,700,,"['North Indian', 'Andhra', 'Biryani', 'Chinese']",0,12,23
Momos Delight,200,,['Momos'],0,6,2
The Chocolate Room,600,,"['Cafe', 'Desserts']",0,10,24
American Wild Wings,600,['Food Hygiene Rated Restaurants in Hyderabad'],"['American', 'Fast Food', 'Salad', 'Burger']",1,12,4
Domino's Pizza,400,,"['Fast Food', 'Pizza']",0,11,23
Mohammedia Shawarma,150,,"['Street Food', 'Arabian']",0,13,1
Arena Eleven,1600,['New on Gold'],['Continental'],1,12,24
Cascade - Radisson Hyderabad Hitec City,1800,,"['North Indian', 'Italian', 'Continental', 'Asian']",0,24,24
Collage - Hyatt Hyderabad Gachibowli,2800,['Sunday Brunches'],"['Continental', 'Italian', 'North Indian', 'Chinese', 'Asian']",1,24,24
Zing's Northeast Kitchen,550,,"['North Eastern', 'Momos']",0,11,23
Dunkin' Donuts,550,,"['Desserts', 'Cafe', 'Beverages', 'Burger', 'Fast Food']",0,10,23
Desi Bytes,400,,"['North Indian', 'Chinese']",0,13,2
Hyderabadi Daawat,600,['Food Hygiene Rated Restaurants in Hyderabad'],"['Hyderabadi', 'Chinese', 'Mughlai']",1,12,23
Zega - Sheraton Hyderabad Hotel,1750,,"['Asian', 'Sushi']",0,12,2
Triptify,400,,['North Indian'],0,11,23
Chinese Pavilion,1000,,"['Chinese', 'Seafood']",0,12,23
IndiBlaze,600,,"['Fast Food', 'Salad']",0,11,23
Sweet Basket,200,,"['Bakery', 'Mithai']",0,10,22
Angaara Counts 3,500,,"['North Indian', 'Biryani', 'Chinese']",0,12,23
Wich Please,250,,['Fast Food'],0,8,24
Republic Of Noodles - Lemon Tree Hotel,1700,['Pan-Asian Delicacies'],"['Thai', 'Asian', 'Chinese', 'Malaysian']",1,11,24
